10
LE: 0.4344061655751544	cost_time: 258422us
LE: 0.4340559362705501	cost_time: 211673us
LE: 0.43608034970903214	cost_time: 253252us
IsoMap: 0.5551222510469349	cost_time: 863680us
IsoMap: 0.5531776311676694	cost_time: 910683us
IsoMap: 0.554608861357641	cost_time: 834646us
lap_score: 0.3201510673542107	cost_time: 402546us
lap_score: 0.3228594087418199	cost_time: 433803us
lap_score: 0.32067144611348614	cost_time: 402927us
NDFS: 0.2537338202177021	cost_time: 677405us
15
LE: 0.5559915756204777	cost_time: 224266us
LE: 0.5574554908629251	cost_time: 238058us
LE: 0.5934293472124506	cost_time: 233370us
IsoMap: 0.7004579127537405	cost_time: 814168us
IsoMap: 0.697347520963679	cost_time: 812172us
IsoMap: 0.7011284910893931	cost_time: 817813us
lap_score: 0.4427352768135087	cost_time: 410907us
lap_score: 0.4430085768149983	cost_time: 400410us
lap_score: 0.44195710412536454	cost_time: 403950us
NDFS: 0.395993487634613	cost_time: 598178us
20
LE: 0.6141203509997348	cost_time: 246297us
LE: 0.6158505801712075	cost_time: 245549us
LE: 0.6125236942247934	cost_time: 253328us
IsoMap: 0.7041736071080127	cost_time: 936839us
IsoMap: 0.708095745264204	cost_time: 872013us
IsoMap: 0.7072327325896266	cost_time: 986790us
lap_score: 0.5267507606967234	cost_time: 435750us
lap_score: 0.5236866380706333	cost_time: 410906us
lap_score: 0.5302559945568627	cost_time: 408074us
NDFS: 0.4522285174796937	cost_time: 813714us
25
LE: 0.6282247629795584	cost_time: 253268us
LE: 0.6323323541827699	cost_time: 269282us
LE: 0.627774643652663	cost_time: 270762us
IsoMap: 0.6972290683569762	cost_time: 413055us
IsoMap: 0.6989028284669228	cost_time: 190018us
IsoMap: 0.6896279619224478	cost_time: 246976us
lap_score: 0.5943010008325172	cost_time: 450751us
lap_score: 0.5878041621770985	cost_time: 452211us
lap_score: 0.588434970998186	cost_time: 446810us
NDFS: 0.5066619771901731	cost_time: 343802us
30
LE: 0.7112491319151101	cost_time: 267247us
LE: 0.7056392725403094	cost_time: 306636us
LE: 0.7014305510269004	cost_time: 286237us
IsoMap: 0.7247778925175622	cost_time: 82882us
IsoMap: 0.7215503358906918	cost_time: 941819us
IsoMap: 0.7230430959825158	cost_time: 41296us
lap_score: 0.6281556517936618	cost_time: 417156us
lap_score: 0.6248450663728643	cost_time: 406468us
lap_score: 0.6258798608502858	cost_time: 402927us
NDFS: 0.5804111202605077	cost_time: 651272us
35
LE: 0.7063066704593755	cost_time: 284323us
LE: 0.7156443822039786	cost_time: 272276us
LE: 0.7003293164352282	cost_time: 279256us
IsoMap: 0.7146283445717052	cost_time: 864033us
IsoMap: 0.7283699208436787	cost_time: 857088us
IsoMap: 0.7217214371569614	cost_time: 870018us
lap_score: 0.621487727806763	cost_time: 404961us
lap_score: 0.6212182069378642	cost_time: 401930us
lap_score: 0.622165196795255	cost_time: 402926us
NDFS: 0.6647703877282611	cost_time: 708161us
40
LE: 0.6720622759282906	cost_time: 283247us
LE: 0.671144444767686	cost_time: 284242us
LE: 0.6779688141159689	cost_time: 273272us
IsoMap: 0.6667530067560118	cost_time: 861041us
IsoMap: 0.6737179597837133	cost_time: 876999us
IsoMap: 0.6916690026478637	cost_time: 841096us
lap_score: 0.6295533661108573	cost_time: 397940us
lap_score: 0.6280049617166148	cost_time: 396943us
lap_score: 0.6277681406117145	cost_time: 414895us
NDFS: 0.6724744542742752	cost_time: 573479us
45
LE: 0.7004337742177417	cost_time: 290226us
LE: 0.6969618072149825	cost_time: 282247us
LE: 0.6968261756147418	cost_time: 283246us
IsoMap: 0.7060969226870568	cost_time: 874006us
IsoMap: 0.7063372181820256	cost_time: 852067us
IsoMap: 0.7070721012179634	cost_time: 842094us
lap_score: 0.6341528715609239	cost_time: 391956us
lap_score: 0.631759610774915	cost_time: 400931us
lap_score: 0.6338992874990745	cost_time: 399935us
NDFS: 0.7138913690451315	cost_time: 66711us
50
LE: 0.7113710332646577	cost_time: 325027us
LE: 0.7118012912466425	cost_time: 327128us
LE: 0.7164386061989896	cost_time: 327381us
IsoMap: 0.730968941307191	cost_time: 97603us
IsoMap: 0.7310301112282724	cost_time: 154203us
IsoMap: 0.7303074300941733	cost_time: 994329us
lap_score: 0.6998210149136378	cost_time: 400830us
lap_score: 0.7017597081998775	cost_time: 403634us
lap_score: 0.6993718482865783	cost_time: 400025us
NDFS: 0.7227765961567346	cost_time: 613756us
55
LE: 0.723764831094303	cost_time: 320669us
LE: 0.7160640283337726	cost_time: 341665us
LE: 0.7207549253100531	cost_time: 308179us
IsoMap: 0.7377528350037171	cost_time: 206121us
IsoMap: 0.7406560666646592	cost_time: 235754us
IsoMap: 0.7407792960731265	cost_time: 335777us
lap_score: 0.7319851657149871	cost_time: 457780us
lap_score: 0.737876492856766	cost_time: 427862us
lap_score: 0.7361867033919417	cost_time: 436839us
NDFS: 0.7439022321975463	cost_time: 792628us
60
LE: 0.744318935130552	cost_time: 356005us
LE: 0.7266147862658925	cost_time: 352063us
LE: 0.7444060415662144	cost_time: 319149us
IsoMap: 0.7447982147913995	cost_time: 175204us
IsoMap: 0.7451606932814772	cost_time: 9088us
IsoMap: 0.7456910656621816	cost_time: 962770us
lap_score: 0.7359120477076929	cost_time: 408808us
lap_score: 0.7330808118684828	cost_time: 413205us
lap_score: 0.7400939188228884	cost_time: 411412us
NDFS: 0.7424964064765598	cost_time: 573401us
